"","Camera","Species","Events","Effort","X","Y","Veg_type","Loc_dist","scrub","Goats","RAIalt"
"1","C1T2P1","Bas_ast",0,89,693084,2009327,"Selva",4718,971,"no",0
"2","C1T2P1","Can_lat",0,89,693084,2009327,"Selva",4718,971,"no",0
"3","C1T2P1","Nas_nar",0,89,693084,2009327,"Selva",4718,971,"no",0
"4","C1T2P1","Syl_flo",6,89,693084,2009327,"Selva",4718,971,"no",6.74
"5","C1T2P1","Con_leu",0,89,693084,2009327,"Selva",4718,971,"no",0
"6","C1T2P1","Lin_ruf",0,89,693084,2009327,"Selva",4718,971,"no",0
"7","C1T2P1","Pro_lot",0,89,693084,2009327,"Selva",4718,971,"no",0
"8","C1T2P1","Odo_vir",7,89,693084,2009327,"Selva",4718,971,"no",7.87
"9","C1T2P1","Pec_taj",0,89,693084,2009327,"Selva",4718,971,"no",0
"10","C1T2P1","Spi_put",0,89,693084,2009327,"Selva",4718,971,"no",0
"11","C1T2P1","Mep_mac",0,89,693084,2009327,"Selva",4718,971,"no",0
"12","C1T2P1","Uro_cin",10,89,693084,2009327,"Selva",4718,971,"no",11.24
"13","C1T2P1","Can_fam",0,89,693084,2009327,"Selva",4718,971,"no",0
"14","C1T2P1","Cap_aeg",0,89,693084,2009327,"Selva",4718,971,"no",0
"15","C1T2P1","Fel_cat",0,89,693084,2009327,"Selva",4718,971,"no",0
"16","C1T2P21","Bas_ast",0,89,693961,2009940,"Selva",4655,999,"no",0
"17","C1T2P21","Can_lat",1,89,693961,2009940,"Selva",4655,999,"no",1.12
"18","C1T2P21","Nas_nar",0,89,693961,2009940,"Selva",4655,999,"no",0
"19","C1T2P21","Syl_flo",20,89,693961,2009940,"Selva",4655,999,"no",22.47
"20","C1T2P21","Con_leu",1,89,693961,2009940,"Selva",4655,999,"no",1.12
"21","C1T2P21","Lin_ruf",1,89,693961,2009940,"Selva",4655,999,"no",1.12
"22","C1T2P21","Pro_lot",0,89,693961,2009940,"Selva",4655,999,"no",0
"23","C1T2P21","Odo_vir",10,89,693961,2009940,"Selva",4655,999,"no",11.24
"24","C1T2P21","Pec_taj",5,89,693961,2009940,"Selva",4655,999,"no",5.62
"25","C1T2P21","Spi_put",0,89,693961,2009940,"Selva",4655,999,"no",0
"26","C1T2P21","Mep_mac",0,89,693961,2009940,"Selva",4655,999,"no",0
"27","C1T2P21","Uro_cin",2,89,693961,2009940,"Selva",4655,999,"no",2.25
"28","C1T2P21","Can_fam",0,89,693961,2009940,"Selva",4655,999,"no",0
"29","C1T2P21","Cap_aeg",0,89,693961,2009940,"Selva",4655,999,"no",0
"30","C1T2P21","Fel_cat",0,89,693961,2009940,"Selva",4655,999,"no",0
"31","C1T6P1","Bas_ast",0,88,692479,2010184,"Selva",4187,982,"no",0
"32","C1T6P1","Can_lat",0,88,692479,2010184,"Selva",4187,982,"no",0
"33","C1T6P1","Nas_nar",0,88,692479,2010184,"Selva",4187,982,"no",0
"34","C1T6P1","Syl_flo",12,88,692479,2010184,"Selva",4187,982,"no",13.64
"35","C1T6P1","Con_leu",2,88,692479,2010184,"Selva",4187,982,"no",2.27
"36","C1T6P1","Lin_ruf",0,88,692479,2010184,"Selva",4187,982,"no",0
"37","C1T6P1","Pro_lot",0,88,692479,2010184,"Selva",4187,982,"no",0
"38","C1T6P1","Odo_vir",7,88,692479,2010184,"Selva",4187,982,"no",7.95
"39","C1T6P1","Pec_taj",1,88,692479,2010184,"Selva",4187,982,"no",1.14
"40","C1T6P1","Spi_put",0,88,692479,2010184,"Selva",4187,982,"no",0
"41","C1T6P1","Mep_mac",2,88,692479,2010184,"Selva",4187,982,"no",2.27
"42","C1T6P1","Uro_cin",8,88,692479,2010184,"Selva",4187,982,"no",9.09
"43","C1T6P1","Can_fam",0,88,692479,2010184,"Selva",4187,982,"no",0
"44","C1T6P1","Cap_aeg",0,88,692479,2010184,"Selva",4187,982,"no",0
"45","C1T6P1","Fel_cat",0,88,692479,2010184,"Selva",4187,982,"no",0
"46","C3T3P21","Bas_ast",0,90,692934,2007423,"Selva",4233,580,"no",0
"47","C3T3P21","Can_lat",1,90,692934,2007423,"Selva",4233,580,"no",1.11
