"","cameras","days","n","RAIgral","RAIalt.mean","RAIalt.sd","RAIpoisson","OccNaive"
"Bas_ast",24,1873,3,0.16,0.19,0.72,0.16,0.12
"Spi_put",24,1873,3,0.16,0.21,0.65,0.16,0.12
"Mep_mac",24,1873,4,0.21,0.23,0.65,0.21,0.08
"Nas_nar",24,1873,5,0.27,0.25,0.76,0.27,0.12
"Pro_lot",24,1873,6,0.32,0.52,1.62,0.32,0.04
"Can_lat",24,1873,7,0.37,0.74,2.09,0.37,0.12
"Can_fam",24,1873,9,0.48,0.83,4.08,0.48,0.25
"Pec_taj",24,1873,17,0.91,1.22,2.56,0.91,0.08
"Lin_ruf",24,1873,21,1.12,1.64,2.67,1.12,0.38
"Con_leu",24,1873,26,1.39,2.17,3.29,1.39,0.46
"Fel_cat",24,1873,34,1.82,2.27,10.88,1.82,0.5
"Uro_cin",24,1873,51,2.72,4.35,7.43,2.72,0.5
"Cap_aeg",24,1873,68,3.63,4.52,13.58,3.63,0.62
"Odo_vir",24,1873,142,7.58,8.76,10.65,7.58,0.79
"Syl_flo",24,1873,162,8.65,9.99,14.52,8.65,0.67
