"","Camera","Bas_ast","Can_fam","Can_lat","Cap_aeg","Con_leu","Fel_cat","Lin_ruf","Mep_mac","Nas_nar","Odo_vir","Pec_taj","Pro_lot","Spi_put","Syl_flo","Uro_cin"
"1","C1T2P1",0,0,0,0,0,0,0,0,0,7.87,0,0,0,6.74,11.24
"2","C1T2P21",0,0,1.12,0,1.12,0,1.12,0,0,11.24,5.62,0,0,22.47,2.25
"3","C1T6P1",0,0,0,0,2.27,0,0,2.27,0,7.95,1.14,0,0,13.64,9.09
"4","C3T3P21",0,0,1.11,0,3.33,0,4.44,0,0,8.89,3.33,0,1.11,13.33,1.11
"5","C4T2P1",0,0,0,0,1.12,0,0,1.12,0,0,0,0,1.12,3.37,0
"6","C4T2P21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08
"7","CB07",0,0,0,2.86,11.43,0,2.86,0,0,48.57,2.86,0,2.86,0,2.86
"8","CB14",0,0,1.61,0,8.06,0,3.23,0,0,14.52,11.29,0,0,37.1,20.97
"9","CB17",1.11,0,0,1.11,8.89,0,7.78,0,0,18.89,0,1.11,0,5.56,7.78
"10","CB18",0,0,0,1.08,0,0,1.08,0,0,6.45,1.08,0,0,0,0
"11","CB18P14",0,0,0,7.78,1.11,0,0,0,0,4.44,1.11,0,0,7.78,0
"12","CB18P15",0,0,0,0,3.41,0,1.14,0,0,6.82,0,0,0,17.05,1.14
"13","CB18P28",3.41,0,0,0,2.27,0,0,0,0,6.82,1.14,0,0,11.36,7.95
"14","CB18P30",0,0,1.15,3.45,0,0,0,0,0,1.15,0,0,0,1.15,1.15
"15","CB18P32",0,20,10,66.67,6.67,53.33,10,0,3.33,13.33,0,6.67,0,60,30
"16","CB19",0,0,0,0,2.3,0,0,0,0,0,0,4.6,0,0,1.15
"17","CB19CH1",0,0,0,1.09,0,1.09,0,0,0,0,0,0,0,1.09,0
"18","CB19CH3",0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0
"19","CB19CH4",0,0,0,6.56,0,0,0,0,1.64,3.28,1.64,0,0,0,0
"20","CB19CH5",0,0,0,1.08,0,0,1.08,0,0,4.3,0,0,0,0,0
"21","CB19CH6",0,0,2.74,1.37,0,0,0,0,0,4.11,0,0,0,0,0
"22","CB19CH7",0,0,0,12.12,0,0,4.55,0,0,9.09,0,0,0,27.27,0
"23","CB19P2",0,0,0,3.23,0,0,0,2.15,0,0,0,0,0,8.6,1.08
"24","CB21",0,0,0,0,0,0,2.2,0,1.1,26.37,0,0,0,3.3,5.49
