"","Camera","Bas_ast","Can_fam","Can_lat","Cap_aeg","Con_leu","Fel_cat","Lin_ruf","Mep_mac","Nas_nar","Odo_vir","Pec_taj","Pro_lot","Spi_put","Syl_flo","Uro_cin"
"1","C1T2P1",0,0,0,0,0,0,0,0,0,7,0,0,0,6,10
"2","C1T2P21",0,0,1,0,1,0,1,0,0,10,5,0,0,20,2
"3","C1T6P1",0,0,0,0,2,0,0,2,0,7,1,0,0,12,8
"4","C3T3P21",0,0,1,0,3,0,4,0,0,8,3,0,1,12,1
"5","C4T2P1",0,0,0,0,1,0,0,1,0,0,0,0,1,3,0
"6","C4T2P21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"7","CB07",0,0,0,1,4,0,1,0,0,17,1,0,1,0,1
"8","CB14",0,0,1,0,5,0,2,0,0,9,7,0,0,23,13
"9","CB17",1,0,0,1,8,0,7,0,0,17,0,1,0,5,7
"10","CB18",0,0,0,1,0,0,1,0,0,6,1,0,0,0,0
"11","CB18P14",0,0,0,7,1,0,0,0,0,4,1,0,0,7,0
"12","CB18P15",0,0,0,0,3,0,1,0,0,6,0,0,0,15,1
"13","CB18P28",3,0,0,0,2,0,0,0,0,6,1,0,0,10,7
"14","CB18P30",0,0,1,3,0,0,0,0,0,1,0,0,0,1,1
"15","CB18P32",0,6,3,20,2,16,3,0,1,4,0,2,0,18,9
"16","CB19",0,0,0,0,2,0,0,0,0,0,0,4,0,0,1
"17","CB19CH1",0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
"18","CB19CH3",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"19","CB19CH4",0,0,0,4,0,0,0,0,1,2,1,0,0,0,0
"20","CB19CH5",0,0,0,1,0,0,1,0,0,4,0,0,0,0,0
"21","CB19CH6",0,0,2,1,0,0,0,0,0,3,0,0,0,0,0
"22","CB19CH7",0,0,0,8,0,0,3,0,0,6,0,0,0,18,0
"23","CB19P2",0,0,0,3,0,0,0,2,0,0,0,0,0,8,1
"24","CB21",0,0,0,0,0,0,2,0,1,24,0,0,0,3,5
